Feature,RMSE,MAE,MSE,R2,Coefficient,Intercept
G1,2.4824731998766456,1.855328229291459,6.162673188105792,0.6994557921500935,1.129537345818347,-2.023897246210092
failures,4.3446079181111905,3.475519748809619,18.87561796211445,0.07946479150473329,-2.332454511696994,11.108354994430005
absences,4.584352385203368,3.693417179938061,21.016286791719807,-0.02493237479388699,0.03521340608427012,10.118011975464405
studytime,4.636045308083058,3.678962967623515,21.492916098598936,-0.04817686190225956,0.7586013704730583,8.772737067417504
